Animes,,,,,,,,,,,,
Anime,Samurai X remake,GIL,,1 EPISÓDIO,,,Kaguya-sama,Completo,,,,
Anime,Charlotte,GIL,,1 EPISÓDIO (Ep 4),,,Ranking of kings,Completo,,,,
Anime,Suisei no Gargantia,GIL,,2 Episódios,,,Solo leveling 2,Completo,,,,
Anime,Kemono jihen,GIL,,1 EPISÓDIO,,,Sword art online 2,Completo,,,,
Anime,Eiyuu Kyoushitsu,GIL,,1 EPISÓDIO,,,86,Completo,,,,
Anime,Seirei gensouki,GiL,,1 EPISÓDIO,,,100 namoradas 1 temp,Completo,,,,
Anime,Outbreak Company,GiL,,1 EPISÓDIO,,,Blood C,Completo,,,,
Anime,The Unwanted Undead Adventurer,GIL,,1 EPISÓDIO,,,O jeito errado de usar magia de cura,Completo,,,,
Anime,Headhunted to Another World,GIL,,4 EPISÓDIOS,,,Shangrila frontier 1,Completo,,,,
,100,GIL,,2 p,,,Summertime render,Completo,,,,
,,,,,,,Sword art online 1,Completo,,,,
,,,,,,,Tonikaku kawaii,Em espera,,,,
,,,,,,,Shangrila frontier 2,Completo,,,,
,,,,,,,Demon king academy 1,Completo,,,,
,,,,,,,Assassination classroom 1,Droppado,,,,
,,,,,,,Dark gathering,Completo,,,,
,,,,,,,Lycoris recoil,Completo,,,,
,,,,,,,beserk da gula,Completo,,,,
,Vivy: Fluorite Eyes song,LUAN,03 - 05 (13 Eps),Completo,Dub,,Gleipnir,Completo,,,,
,Dr. STONE 2,VINICIUS,08 - 11 (Comp),Completo,Dub,,Dr. Stone 1,Completo,,,,
,Engage kiss,EPAX,12 - 13 Final,Completo,Leg,,DR. Stone 2,Completo,,,,
,No game No Life,SETHX,09 - 12 Final,Completo,Dub,,Aristocrata em outro mundo,Completo,,,,
,Undead girl murder farce,SETHX,9 - 13 Final,Completo,Leg,,The world's Finest assassin,Completo,,,,
,Kaguya sama 1,Gil,9 - 12 Final,Completo,Dub,,To your eternity 1,Completo,,,,
,Ranking of kings,Lilian,20 - 23,Completo,Dub,,To your eternity 2,Completo,,,,
,Sword Art Online Ordinal scale,EPAX,Filme,Completo,Dub,, Makeine,Em espera,,,,
,Shangri-La Frontier 2,SETH7X,21 - 25 Final,Completo,Dub,,100 Namoradas 2,Assistindo,,,,
,Distrito dos lampêjos,EPAX,Ep Piloto,Assistindo,Dub,,Re: Zero 2,Droppado,,,,
,The God of High School,SETHX,05 - 08 (Comp),Assistindo,Dub,,Sword art online progressive 1,Completo,,,,
,,,,,,,Sword art online progressive 2,Na Fila,,,,
,,,,,,,Tensei Shitara Ken Deshita,Completo,,,,
,,,,,,,Sword art online Ordinal Scale,Completo,,,,
,MiSide (Talvez),Robson,1h30?,Assistindo,Dub,,Sword art online 3 part 1,Completo,,,,
,,,,,,,Saga of Tanya the evil,Completo,,,,
,,,,,,,Saga of Tanya the evil filme,Em espera,,,,
,,,,,,,wistoria,Na Fila,,,,
,,,,,,,Hells Paradise,Completo,,,,
,,,,,,,Back Street girls,Completo,,,,
,,,,,,,Vivy: Fluorite Eyes song,Completo,,,,
,,,,,,,Dark Gathering 2 Parte,Completo,,,,
,,,,,,,Engage kiss,Completo,,,,
,,,,,,,No game No Life,Completo,,,,
,,,,,,,Undead girl murder face,Completo,,,,
,,,,,,,Kaguya-sama 1,Completo,,,,
,,,,,,,Ranking of kings,Completo,,,,
,,,,,,,Diários de uma apotecária,Assistindo,,,,
,,,,,,,The Journey of Elaina,Completo,,,,
,,,,,,,Distrito dos lampêjos Piloto,Completo,,,,
,,,,,,,Oshi no ko ep 1,Completo,,,,
,,,,,,,Dr stone: ryusui,Completo,,,,
,,,,,,,The Reincarnation Of The Strongest Exorcist In Another World,Em espera,,,,
,,,,,,,Jojo parte 1,Completo,,,,
,,,,,,,Jojo parte 2,Completo,,,,
,,,,,,,Jojo parte 3,Na Fila,,,,
,,,,,,,Dragon ball super (Torneio do poder),Completo,,,,
,,,,,,,Isekai quartet,Assistindo,,,,
,,,,,,,Alice in borderland 1,Completo,,,,
,,,,,,,Alice in borderland 2,Assistindo,,,,
,,,,,,,To be hero X,Assistindo,,,,
,,,,,,,Plunderer,Assistindo,,,,
,,,,,,,The god of highschool,Completo,,,,
,,,,,,,Chainsawman,Completo,,,,
,,,,,,,slime 300,Assistindo,,,,
,,,,,,,Ragna Crismon,Completo,,,,
,,,,,,,The rising of shield hero,Assistindo,,,,
,,,,,,,KengaAshura 1,Assistindo,,,,
,,,,,,,,,,,,
,,,,,,,KengaAshura 2,Na Fila,,,,
,,,,,,,Jojo 1,Completo,,,,
,,,,,,,Jojo 2,Completo,,,,
,,,,,,,Jojo 3,Assistindo,,,,
,,,,,,,Lorde demonio,Completo,,,,
,,,,,,,Dr. Stone 4,Assistindo,,,,
,,,,,,,Dr. Stone 3,Completo,,,,
,,,,,,,Desencanto,Completo,,,,
